species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex
Gentoo,Biscoe,46.10,13.20,211,4500.00,female
Gentoo,Biscoe,50.00,16.30,230,5700.00,male
Gentoo,Biscoe,48.70,14.10,210,4450.00,female
Gentoo,Biscoe,50.00,15.20,218,5700.00,male
Gentoo,Biscoe,47.60,14.50,215,5400.00,male
Gentoo,Biscoe,46.50,13.50,210,4550.00,female
Gentoo,Biscoe,45.40,14.60,211,4800.00,female
Gentoo,Biscoe,46.70,15.30,219,5200.00,male
Gentoo,Biscoe,43.30,13.40,209,4400.00,female
Gentoo,Biscoe,46.80,15.40,215,5150.00,male
Gentoo,Biscoe,40.90,13.70,214,4650.00,female
Gentoo,Biscoe,49.00,16.10,216,5550.00,male
Gentoo,Biscoe,45.50,13.70,214,4650.00,female
Gentoo,Biscoe,48.40,14.60,213,5850.00,male
Gentoo,Biscoe,45.80,14.60,210,4200.00,female
Gentoo,Biscoe,49.30,15.70,217,5850.00,male
Gentoo,Biscoe,42.00,13.50,210,4150.00,female
Gentoo,Biscoe,49.20,15.20,221,6300.00,male
Gentoo,Biscoe,46.20,14.50,209,4800.00,female
Gentoo,Biscoe,48.70,15.10,222,5350.00,male
Gentoo,Biscoe,50.20,14.30,218,5700.00,male
Gentoo,Biscoe,45.10,14.50,215,5000.00,female
Gentoo,Biscoe,46.50,14.50,213,4400.00,female
Gentoo,Biscoe,46.30,15.80,215,5050.00,male
Gentoo,Biscoe,42.90,13.10,215,5000.00,female
Gentoo,Biscoe,46.10,15.10,215,5100.00,male
Gentoo,Biscoe,44.50,14.30,216,4100.00,NA
Gentoo,Biscoe,47.80,15.00,215,5650.00,male
Gentoo,Biscoe,48.20,14.30,210,4600.00,female
Gentoo,Biscoe,50.00,15.30,220,5550.00,male
Gentoo,Biscoe,47.30,15.30,222,5250.00,male
Gentoo,Biscoe,42.80,14.20,209,4700.00,female
Gentoo,Biscoe,45.10,14.50,207,5050.00,female
Gentoo,Biscoe,59.60,17.00,230,6050.00,male
Gentoo,Biscoe,49.10,14.80,220,5150.00,female
Gentoo,Biscoe,48.40,16.30,220,5400.00,male
Gentoo,Biscoe,42.60,13.70,213,4950.00,female
Gentoo,Biscoe,44.40,17.30,219,5250.00,male
Gentoo,Biscoe,44.00,13.60,208,4350.00,female
Gentoo,Biscoe,48.70,15.70,208,5350.00,male
Gentoo,Biscoe,42.70,13.70,208,3950.00,female
Gentoo,Biscoe,49.60,16.00,225,5700.00,male
Gentoo,Biscoe,45.30,13.70,210,4300.00,female
Gentoo,Biscoe,49.60,15.00,216,4750.00,male
Gentoo,Biscoe,50.50,15.90,222,5550.00,male
Gentoo,Biscoe,43.60,13.90,217,4900.00,female
Gentoo,Biscoe,45.50,13.90,210,4200.00,female
Gentoo,Biscoe,50.50,15.90,225,5400.00,male
Gentoo,Biscoe,44.90,13.30,213,5100.00,female
Gentoo,Biscoe,45.20,15.80,215,5300.00,male
Gentoo,Biscoe,46.60,14.20,210,4850.00,female
Gentoo,Biscoe,48.50,14.10,220,5300.00,male
Gentoo,Biscoe,45.10,14.40,210,4400.00,female
Gentoo,Biscoe,50.10,15.00,225,5000.00,male
Gentoo,Biscoe,46.50,14.40,217,4900.00,female
Gentoo,Biscoe,45.00,15.40,220,5050.00,male
Gentoo,Biscoe,43.80,13.90,208,4300.00,female
Gentoo,Biscoe,45.50,15.00,220,5000.00,male
Gentoo,Biscoe,43.20,14.50,208,4450.00,female
Gentoo,Biscoe,50.40,15.30,224,5550.00,male
Gentoo,Biscoe,45.30,13.80,208,4200.00,female
Gentoo,Biscoe,46.20,14.90,221,5300.00,male
Gentoo,Biscoe,45.70,13.90,214,4400.00,female
Gentoo,Biscoe,54.30,15.70,231,5650.00,male
Gentoo,Biscoe,45.80,14.20,219,4700.00,female
Gentoo,Biscoe,49.80,16.80,230,5700.00,male
Gentoo,Biscoe,46.20,14.40,214,4650.00,NA
Gentoo,Biscoe,49.50,16.20,229,5800.00,male
Gentoo,Biscoe,43.50,14.20,220,4700.00,female
Gentoo,Biscoe,50.70,15.00,223,5550.00,male
Gentoo,Biscoe,47.70,15.00,216,4750.00,female
Gentoo,Biscoe,46.40,15.60,221,5000.00,male
Gentoo,Biscoe,48.20,15.60,221,5100.00,male
Gentoo,Biscoe,46.50,14.80,217,5200.00,female
Gentoo,Biscoe,46.40,15.00,216,4700.00,female
Gentoo,Biscoe,48.60,16.00,230,5800.00,male
Gentoo,Biscoe,47.50,14.20,209,4600.00,female
Gentoo,Biscoe,51.10,16.30,220,6000.00,male
Gentoo,Biscoe,45.20,13.80,215,4750.00,female
Gentoo,Biscoe,45.20,16.40,223,5950.00,male
Gentoo,Biscoe,49.10,14.50,212,4625.00,female
Gentoo,Biscoe,52.50,15.60,221,5450.00,male
Gentoo,Biscoe,47.40,14.60,212,4725.00,female
Gentoo,Biscoe,50.00,15.90,224,5350.00,male
Gentoo,Biscoe,44.90,13.80,212,4750.00,female
Gentoo,Biscoe,50.80,17.30,228,5600.00,male
Gentoo,Biscoe,43.40,14.40,218,4600.00,female
Gentoo,Biscoe,51.30,14.20,218,5300.00,male
Gentoo,Biscoe,47.50,14.00,212,4875.00,female
Gentoo,Biscoe,52.10,17.00,230,5550.00,male
Gentoo,Biscoe,47.50,15.00,218,4950.00,female
Gentoo,Biscoe,52.20,17.10,228,5400.00,male
Gentoo,Biscoe,45.50,14.50,212,4750.00,female
Gentoo,Biscoe,49.50,16.10,224,5650.00,male
Gentoo,Biscoe,44.50,14.70,214,4850.00,female
Gentoo,Biscoe,50.80,15.70,226,5200.00,male
Gentoo,Biscoe,49.40,15.80,216,4925.00,male
Gentoo,Biscoe,46.90,14.60,222,4875.00,female
Gentoo,Biscoe,48.40,14.40,203,4625.00,female
Gentoo,Biscoe,51.10,16.50,225,5250.00,male
Gentoo,Biscoe,48.50,15.00,219,4850.00,female
Gentoo,Biscoe,55.90,17.00,228,5600.00,male
Gentoo,Biscoe,47.20,15.50,215,4975.00,female
Gentoo,Biscoe,49.10,15.00,228,5500.00,male
Gentoo,Biscoe,47.30,13.80,216,4725.00,NA
Gentoo,Biscoe,46.80,16.10,215,5500.00,male
Gentoo,Biscoe,41.70,14.70,210,4700.00,female
Gentoo,Biscoe,53.40,15.80,219,5500.00,male
Gentoo,Biscoe,43.30,14.00,208,4575.00,female
Gentoo,Biscoe,48.10,15.10,209,5500.00,male
Gentoo,Biscoe,50.50,15.20,216,5000.00,female
Gentoo,Biscoe,49.80,15.90,229,5950.00,male
Gentoo,Biscoe,43.50,15.20,213,4650.00,female
Gentoo,Biscoe,51.50,16.30,230,5500.00,male
Gentoo,Biscoe,46.20,14.10,217,4375.00,female
Gentoo,Biscoe,55.10,16.00,230,5850.00,male
Gentoo,Biscoe,44.50,15.70,217,4875.00,NA
Gentoo,Biscoe,48.80,16.20,222,6000.00,male
Gentoo,Biscoe,47.20,13.70,214,4925.00,female
Gentoo,Biscoe,46.80,14.30,215,4850.00,female
Gentoo,Biscoe,50.40,15.70,222,5750.00,male
Gentoo,Biscoe,45.20,14.80,212,5200.00,female
Gentoo,Biscoe,49.90,16.10,213,5400.00,male
Adelie,Dream,39.50,16.70,178,3250.00,female
Adelie,Dream,37.20,18.10,178,3900.00,male
Adelie,Dream,39.50,17.80,188,3300.00,female
Adelie,Dream,40.90,18.90,184,3900.00,male
Adelie,Dream,36.40,17.00,195,3325.00,female
Adelie,Dream,39.20,21.10,196,4150.00,male
Adelie,Dream,38.80,20.00,190,3950.00,male
Adelie,Dream,42.20,18.50,180,3550.00,female
Adelie,Dream,37.60,19.30,181,3300.00,female
Adelie,Dream,39.80,19.10,184,4650.00,male
Adelie,Dream,36.50,18.00,182,3150.00,female
Adelie,Dream,40.80,18.40,195,3900.00,male
Adelie,Dream,36.00,18.50,186,3100.00,female
Adelie,Dream,44.10,19.70,196,4400.00,male
Adelie,Dream,37.00,16.90,185,3000.00,female
Adelie,Dream,39.60,18.80,190,4600.00,male
Adelie,Dream,41.10,19.00,182,3425.00,male
Adelie,Dream,37.50,18.90,179,2975.00,NA
Adelie,Dream,36.00,17.90,190,3450.00,female
Adelie,Dream,42.30,21.20,191,4150.00,male
Adelie,Dream,37.30,17.80,191,3350.00,female
Adelie,Dream,41.30,20.30,194,3550.00,male
Adelie,Dream,36.30,19.50,190,3800.00,male
Adelie,Dream,36.90,18.60,189,3500.00,female
Adelie,Dream,38.30,19.20,189,3950.00,male
Adelie,Dream,38.90,18.80,190,3600.00,female
Adelie,Dream,35.70,18.00,202,3550.00,female
Adelie,Dream,41.10,18.10,205,4300.00,male
Adelie,Dream,34.00,17.10,185,3400.00,female
Adelie,Dream,39.60,18.10,186,4450.00,male
Adelie,Dream,36.20,17.30,187,3300.00,female
Adelie,Dream,40.80,18.90,208,4300.00,male
Adelie,Dream,38.10,18.60,190,3700.00,female
Adelie,Dream,40.30,18.50,196,4350.00,male
Adelie,Dream,33.10,16.10,178,2900.00,female
Adelie,Dream,43.20,18.50,192,4100.00,male
Adelie,Dream,36.80,18.50,193,3500.00,female
Adelie,Dream,37.50,18.50,199,4475.00,male
Adelie,Dream,38.10,17.60,187,3425.00,female
Adelie,Dream,41.10,17.50,190,3900.00,male
Adelie,Dream,35.60,17.50,191,3175.00,female
Adelie,Dream,40.20,20.10,200,3975.00,male
Adelie,Dream,37.00,16.50,185,3400.00,female
Adelie,Dream,39.70,17.90,193,4250.00,male
Adelie,Dream,40.20,17.10,193,3400.00,female
Adelie,Dream,40.60,17.20,187,3475.00,male
Adelie,Dream,32.10,15.50,188,3050.00,female
Adelie,Dream,40.70,17.00,190,3725.00,male
Adelie,Dream,37.30,16.80,192,3000.00,female
Adelie,Dream,39.00,18.70,185,3650.00,male
Adelie,Dream,39.20,18.60,190,4250.00,male
Adelie,Dream,36.60,18.40,184,3475.00,female
Adelie,Dream,36.00,17.80,195,3450.00,female
Adelie,Dream,37.80,18.10,193,3750.00,male
Adelie,Dream,36.00,17.10,187,3700.00,female
Adelie,Dream,41.50,18.50,201,4000.00,male
Chinstrap,Dream,46.50,17.90,192,3500.00,female
Chinstrap,Dream,50.00,19.50,196,3900.00,male
Chinstrap,Dream,51.30,19.20,193,3650.00,male
Chinstrap,Dream,45.40,18.70,188,3525.00,female
Chinstrap,Dream,52.70,19.80,197,3725.00,male
Chinstrap,Dream,45.20,17.80,198,3950.00,female
Chinstrap,Dream,46.10,18.20,178,3250.00,female
Chinstrap,Dream,51.30,18.20,197,3750.00,male
Chinstrap,Dream,46.00,18.90,195,4150.00,female
Chinstrap,Dream,51.30,19.90,198,3700.00,male
Chinstrap,Dream,46.60,17.80,193,3800.00,female
Chinstrap,Dream,51.70,20.30,194,3775.00,male
Chinstrap,Dream,47.00,17.30,185,3700.00,female
Chinstrap,Dream,52.00,18.10,201,4050.00,male
Chinstrap,Dream,45.90,17.10,190,3575.00,female
Chinstrap,Dream,50.50,19.60,201,4050.00,male
Chinstrap,Dream,50.30,20.00,197,3300.00,male
Chinstrap,Dream,58.00,17.80,181,3700.00,female
Chinstrap,Dream,46.40,18.60,190,3450.00,female
Chinstrap,Dream,49.20,18.20,195,4400.00,male
Chinstrap,Dream,42.40,17.30,181,3600.00,female
Chinstrap,Dream,48.50,17.50,191,3400.00,male
Chinstrap,Dream,43.20,16.60,187,2900.00,female
Chinstrap,Dream,50.60,19.40,193,3800.00,male
Chinstrap,Dream,46.70,17.90,195,3300.00,female
Chinstrap,Dream,52.00,19.00,197,4150.00,male
Chinstrap,Dream,50.50,18.40,200,3400.00,female
Chinstrap,Dream,49.50,19.00,200,3800.00,male
Chinstrap,Dream,46.40,17.80,191,3700.00,female
Chinstrap,Dream,52.80,20.00,205,4550.00,male
Chinstrap,Dream,40.90,16.60,187,3200.00,female
Chinstrap,Dream,54.20,20.80,201,4300.00,male
Chinstrap,Dream,42.50,16.70,187,3350.00,female
Chinstrap,Dream,51.00,18.80,203,4100.00,male
Chinstrap,Dream,49.70,18.60,195,3600.00,male
Chinstrap,Dream,47.50,16.80,199,3900.00,female
Chinstrap,Dream,47.60,18.30,195,3850.00,female
Chinstrap,Dream,52.00,20.70,210,4800.00,male
Chinstrap,Dream,46.90,16.60,192,2700.00,female
Chinstrap,Dream,53.50,19.90,205,4500.00,male
Chinstrap,Dream,49.00,19.50,210,3950.00,male
Chinstrap,Dream,46.20,17.50,187,3650.00,female
Chinstrap,Dream,50.90,19.10,196,3550.00,male
Chinstrap,Dream,45.50,17.00,196,3500.00,female
Chinstrap,Dream,50.90,17.90,196,3675.00,female
Chinstrap,Dream,50.80,18.50,201,4450.00,male
Chinstrap,Dream,50.10,17.90,190,3400.00,female
Chinstrap,Dream,49.00,19.60,212,4300.00,male
Chinstrap,Dream,51.50,18.70,187,3250.00,male
Chinstrap,Dream,49.80,17.30,198,3675.00,female
Chinstrap,Dream,48.10,16.40,199,3325.00,female
Chinstrap,Dream,51.40,19.00,201,3950.00,male
Chinstrap,Dream,45.70,17.30,193,3600.00,female
Chinstrap,Dream,50.70,19.70,203,4050.00,male
Chinstrap,Dream,42.50,17.30,187,3350.00,female
Chinstrap,Dream,52.20,18.80,197,3450.00,male
Chinstrap,Dream,45.20,16.60,191,3250.00,female
Chinstrap,Dream,49.30,19.90,203,4050.00,male
Chinstrap,Dream,50.20,18.80,202,3800.00,male
Chinstrap,Dream,45.60,19.40,194,3525.00,female
Chinstrap,Dream,51.90,19.50,206,3950.00,male
Chinstrap,Dream,46.80,16.50,189,3650.00,female
Chinstrap,Dream,45.70,17.00,195,3650.00,female
Chinstrap,Dream,55.80,19.80,207,4000.00,male
