VehicleType,vehicle_length,vehehicle_mCarss
Truck,211,4500.00
Truck,230,5700.00
Truck,210,4450.00
Truck,218,5700.00
Truck,215,5400.00
Truck,210,4550.00
Truck,211,4800.00
Truck,219,5200.00
Truck,209,4400.00
Truck,215,5150.00
Truck,214,4650.00
Truck,216,5550.00
Truck,214,4650.00
Truck,213,5850.00
Truck,210,4200.00
Truck,217,5850.00
Truck,210,4150.00
Truck,221,6300.00
Truck,209,4800.00
Truck,222,5350.00
Truck,218,5700.00
Truck,215,5000.00
Truck,213,4400.00
Truck,215,5050.00
Truck,215,5000.00
Truck,215,5100.00
Truck,216,4100.00
Truck,215,5650.00
Truck,210,4600.00
Truck,220,5550.00
Truck,222,5250.00
Truck,209,4700.00
Truck,207,5050.00
Truck,230,6050.00
Truck,220,5150.00
Truck,220,5400.00
Truck,213,4950.00
Truck,219,5250.00
Truck,208,4350.00
Truck,208,5350.00
Truck,208,3950.00
Truck,225,5700.00
Truck,210,4300.00
Truck,216,4750.00
Truck,222,5550.00
Truck,217,4900.00
Truck,210,4200.00
Truck,225,5400.00
Truck,213,5100.00
Truck,215,5300.00
Truck,210,4850.00
Truck,220,5300.00
Truck,210,4400.00
Truck,225,5000.00
Truck,217,4900.00
Truck,220,5050.00
Truck,208,4300.00
Truck,220,5000.00
Truck,208,4450.00
Truck,224,5550.00
Truck,208,4200.00
Truck,221,5300.00
Truck,214,4400.00
Truck,231,5650.00
Truck,219,4700.00
Truck,230,5700.00
Truck,214,4650.00
Truck,229,5800.00
Truck,220,4700.00
Truck,223,5550.00
Truck,216,4750.00
Truck,221,5000.00
Truck,221,5100.00
Truck,217,5200.00
Truck,216,4700.00
Truck,230,5800.00
Truck,209,4600.00
Truck,220,6000.00
Truck,215,4750.00
Truck,223,5950.00
Truck,212,4625.00
Truck,221,5450.00
Truck,212,4725.00
Truck,224,5350.00
Truck,212,4750.00
Truck,228,5600.00
Truck,218,4600.00
Truck,218,5300.00
Truck,212,4875.00
Truck,230,5550.00
Truck,218,4950.00
Truck,228,5400.00
Truck,212,4750.00
Truck,224,5650.00
Truck,214,4850.00
Truck,226,5200.00
Truck,216,4925.00
Truck,222,4875.00
Truck,203,4625.00
Truck,225,5250.00
Truck,219,4850.00
Truck,228,5600.00
Truck,215,4975.00
Truck,228,5500.00
Truck,216,4725.00
Truck,215,5500.00
Truck,210,4700.00
Truck,219,5500.00
Truck,208,4575.00
Truck,209,5500.00
Truck,216,5000.00
Truck,229,5950.00
Truck,213,4650.00
Truck,230,5500.00
Truck,217,4375.00
Truck,230,5850.00
Truck,217,4875.00
Truck,222,6000.00
Truck,214,4925.00
Truck,215,4850.00
Truck,222,5750.00
Truck,212,5200.00
Truck,213,5400.00
Cardelie,189,3950.00
Cardelie,190,3600.00
Cardelie,202,3550.00
Cardelie,205,4300.00
Cardelie,185,3400.00
Cardelie,186,4450.00
Cardelie,187,3300.00
Car,192,3500.00
Car,196,3900.00
Car,193,3650.00
Car,188,3525.00
Car,197,3725.00
Car,198,3950.00
Car,178,3250.00
Car,197,3750.00
Car,195,4150.00
Car,198,3700.00
Car,193,3800.00
Car,194,3775.00
Car,185,3700.00
Car,201,4050.00
Car,190,3575.00
Car,201,4050.00
Car,197,3300.00
Car,181,3700.00
Car,190,3450.00
Car,195,4400.00
Car,181,3600.00
Car,191,3400.00
Car,187,2900.00
Car,193,3800.00
Car,195,3300.00
Car,197,4150.00
Car,200,3400.00
Car,200,3800.00
Car,191,3700.00
Car,205,4550.00
Car,187,3200.00
Car,201,4300.00
Car,187,3350.00
Car,203,4100.00
Car,195,3600.00
Car,199,3900.00
Car,195,3850.00
Car,210,4800.00
Car,192,2700.00
Car,205,4500.00
Car,210,3950.00
Car,187,3650.00
Car,196,3550.00
Car,196,3500.00
Car,196,3675.00
Car,201,4450.00
Car,190,3400.00
Car,212,4300.00
Car,187,3250.00
Car,198,3675.00
Car,199,3325.00
Car,201,3950.00
Car,193,3600.00
Car,203,4050.00
Car,187,3350.00
Car,197,3450.00
Car,191,3250.00
Car,203,4050.00
Car,202,3800.00
Car,194,3525.00
Car,206,3950.00
Car,189,3650.00
Car,195,3650.00
Car,207,4000.00
